Sense	Arabic	English	Finnish	Greek	Indonesian	Japanese	Mandarin Chinese	POS	Polish	Portuguese	Serbo-Croatian	Slovene	Spanish	Thai	lang	POS
to violently eject	None	erupt	purkautua	εκραγώ	meletus	噴出する	噴發 喷发 爆發 爆发 噴出 喷出	v e r b	None	entrar em erupção erupcionar	None	None	entrar en erupción	ปะทุ	None	verb
secrete saliva	أَسَالَ لُعَابًا	drool	kuolata	σαλιάζω	mengiler	None	流口水	v e r b	ślinić się	salivar babar	слинити ба̏лавити sliniti bȁlaviti	None	babear babosear	None	None	verb
to arrange in tabular form	None	tabulate	None	None	menabelkan	None	None	v e r b	None	None	None	None	None	None	None	verb
surgical incision	بضع الفرج	episiotomy	episiotomia	None	episiotomi	会陰切開	會陰切開術 会阴切开术	n o u n	nacięcie krocza	None	None	None	episiotomía	None	None	noun
located back at the start, as after a dead-end or failure	None	back to square one	None	None	kembali ke awal balik ke awal	None	None	a d j	na punkcie wyjścia	voltar à estaca zero	None	None	None	None	None	adj
back to the start, as after a dead-end or failure	None	back to square one	takaisin lähtöruutuun	None	kembali ke awal balik ke awal	None	回到原點 回到原点	a d v	na punkcie wyjścia	None	None	None	None	None	None	adv
electrode through which current flows outward	None	cathode	katodi	None	katode	カソード	陰極 阴极 正極 正极	n o u n	katoda	cátodo catodo catódio	None	None	None	None	None	noun
violent ejection, such as that of lava from a volcano	None	eruption	purkaus	έκρηξη	erupsi	噴火	噴發 喷发 爆發 爆发 噴出 喷出	n o u n	erupcja	erupção	erupcija ерупција	None	erupción	None	None	noun
infection of the skin resulting in a rash or blemishing	None	eruption	tulehdus	None	erupsi	None	None	n o u n	None	None	None	None	None	None	None	noun
wood intended to be burned, typically for heat	حَطَب حطب	firewood	polttopuu klapi	καυσόξυλα	kayu bakar	薪	柴火 木柴 柴禾	n o u n	drewno na opał drwa	lenha	дрва скосје drva skosje	None	leña	ฟืน	None	noun
game for small children	None	peekaboo	kurkistusleikki	κούκου	ci-luk-ba	いないいないばあ	None	n o u n	a kuku	cucu	None	None	None	จ๊ะเอ๋	None	noun
panel under the windscreen of a motor car or aircraft	None	dashboard	kojelauta	ταμπλό αυτοκινήτου	dasbor	ダッシュボード 計器盤	汽車儀表 汽车仪表 儀表盤 仪表盘	n o u n	deska rozdzielcza	painel painel de bordo painel de instrumentos tabliê	kontrolna ploča nadzorna ploča управљачница контролна табла upravljačnica kontrolna tabla	None	tablero de instrumentos salpicadero	แผงหน้าปัด แผงควบคุม	None	noun
dead weight	None	dead weight	kuollut paino	None	berat mati	None	None	n o u n	None	peso morto	balast mrtav teret	None	None	None	None	noun
a chemical process of decomposition	None	hydrolysis	hydrolyysi	υδρόλυση	hidrolisis	加水分解	水解	n o u n	hydroliza	hidrólise	None	None	hidrólisis	None	None	noun
leaf of a fern	None	frond	saniaisen lehti	None	ental	None	植物体	n o u n	None	fronde	None	None	fronda	None	None	noun
slightly salty	None	brackish	murto-	None	payau	None	汽水 半海水	a d j	słonawy	salobro salobre	None	None	None	กร่อย	None	adj
unfortunately, no	None	I'm afraid not	valitettavasti ei	None	Aku rasa tidak	None	恐怕不是 恐怕沒有 恐怕没有 恐怕不行	p h r a s e	obawiam się, że nie niestety, nie	None	None	None	me temo que no	None	None	phrase
moral sense	ضَمِير طَوِيَّة وِجْدَان	conscience	omatunto	συνείδηση	hati nurani	None	良心 天良	n o u n	sumienie	consciência	са́вест са́вјест sávest sávjest	vest	conciencia	สำนึก มโนธรรม	None	noun
one who loans money at exorbitant interest rates	None	usurer	koronkiskuri	τοκογλύφος	rentenir	高利貸し	高利貸 高利贷	n o u n	lichwiarz	usurário usureiro agiota	лихвар lihvar	None	usurero usurera	None	None	noun
place or building	مَسْرَح مسرح تياترو	theater	teatteri	θέατρο	teater	シアター	劇場 剧场 劇院 剧院	n o u n	teatr	teatro	теа́тар позориште ка̀залӣште teátar pozorište kàzalīšte	gledališče	None	โรงละคร	None	noun
(idiomatic) to quit; to give up	None	throw in the towel	heittää pyyhe kehään	None	melempar handuk	匙を投げる お手上げ	None	v e r b	rozkładać ręce rozłożyć ręce	jogar a toalha	baciti pušku u šaš	vreči puško v koruzo	tirar la toalla botar la toalla	None	None	verb
garment worn for swimming	None	swimsuit	uimapuku uima-asu	None	baju renang	水着	泳裝 泳装 游泳衣 泳衣	n o u n	strój kąpielowy kostium kąpielowy kąpielówki	traje de banho fato de banho	None	None	bañador traje de baño	None	None	noun
a meal eaten outdoors	نُزْهَة	picnic	eväsretki	πικνίκ	piknik	ピクニック	野餐	n o u n	None	piquenique	ѝзлет пѝкник ìzlet pìknik	None	jira pícnic	ปิกนิก	None	noun
collectively	شَعْر اَلْعَانَة شعرة	pubic hair	häpykarvoitus	None	jembut bulu kemaluan rambut kemaluan	None	陰毛 阴毛	n o u n	owłosienie łonowe	pelos púbicos pelos pubianos pentelhos	stidne dlake	sramne dlake	vello púbico vello pubiano pelo púbico	หมอย	None	noun
statistics	عَيِّنَةٌ عَيِّناتٌ	meta-analysis sample resistant absolute deviation	meta-analyysi otos poikkeama	μετανάλυση μεταανάλυση	sampel simpangan mutlak	メタ分析 メタ解析 メタアナリシス	元分析 薈萃分析 荟萃分析 後設分析 后设分析 統合分析 统合分析 樣本 样本 抽樣 抽样	n o u n	metaanaliza próba	metanálise meta-análise	None	None	metanálisis muestra	None	None	noun
The mineralized remains of an animal or plant	مُسْتَحَاثَة	fossil	fossiili	απολίθωμα	fosil	None	化石	n o u n	skamieniałość	fóssil	fòsīl фо̀сӣл	okamenina	fósil	ฟอสซิล ซากดึกดำบรรพ์	None	noun
process of achieving agreement	مُفَاوَضَات مُذَاكَرَات	negotiation	neuvottelu	παζάρεμα	negosiasi	交渉	談判 谈判 交涉	n o u n	negocjacja negocjacje	negociação	пре̏гово̄р пре̏гово̄ри prȅgovōr prȅgovōri	pregovor pogajanja	negociación	การต่อรอง	None	noun
having a slant to the right	None	italic	kursiivi kursiivinen	πλάγιος	kursif miring	斜体の	斜體的 斜体的	a d j	None	itálico	None	None	cursivo	None	None	adj
adverse judgement formed beforehand	None	prejudice	ennakkoluulo	προκατάληψη	prasangka	僻見 先入観	成見 成见 偏見 偏见	n o u n	uprzedzenie	preconceito	predrasuda предрасуда	None	prejuicio	None	None	noun
number or expression written below the line in a fraction	قَاسِم	denominator	nimittäjä	παρονομαστής	penyebut	None	分母	n o u n	mianownik	denominador	именилац imenilac nazivnik	imenovalec	None	None	None	noun
white crystalline organic acid, C6H5COOH	None	benzoic acid	bentsoehappo	None	asam benzoat	None	苯甲酸 安息香酸	n o u n	benzoes kwas benzoesowy	None	None	None	ácido benzoico	None	None	noun
antibiotic	بِنِسِلِين	penicillin amoxicillin alamethicin fusidic acid	penisilliini amoksisilliini fusidiinihappo	πενικιλίνη αμοξυκιλλίνη	penisilin	ペニシリン	青黴素 青霉素 盤尼西林 盘尼西林 阿莫西林	n o u n	penicylina	penicilina amoxicilina	пеницилин penicilin	None	None	เพนิซิลลิน	None	noun
vault of the heavens	رَقِيع سماء	firmament	ilmankansi taivaankansi	στερέωμα	cakrawala	大空	蒼穹 苍穹 蒼天 苍天 昊天 皓天 穹蒼 穹苍 穹宇 天空 霄漢 霄汉	n o u n	None	firmamento alturas	не̏бо ша̑р nȅbo šȃr	None	None	None	None	noun
lacking experience, wisdom, or judgement	سَاذَج صيدة	naive	naiivi	αφελής	naif	無邪気な あどけない	天真 幼稚	a d j	naiwny	ingénuo ingênuo	на̏ӣван nȁīvan	naiven	cándido ingenuo	ไร้เดียงสา	None	adj
group of galaxies, nebulae, or stars that appear to the naked eye to be near each other	عُنْقُود عُنْقُود نَجْمِيّ	cluster	galaksijoukko	σύμπλεγμα σμήνος	gugus	None	None	n o u n	gromada	aglomerado	jato	None	cúmulo estelar	None	None	noun
actual or threatened force for the purpose of compelling action by another person	قهر قسر غصب عنت دفع جبر اِضْطِرَار إِلْزَام إِكْرَاه إرْغَام إِجْبَار	coercion	pakko pakkokeino	εξαναγκασμός καταπίεση	paksaan	強制 威圧	強迫 强迫 威迫	n o u n	przymus	coação coerção	prisila prinuda	None	coerción	None	None	noun
HNO3	حمض النتريك أزوتيك متريول ميّة النار	nitric acid	typpihappo	νιτρικό οξύ	asam nitrat	None	硝酸	n o u n	kwas azotowy	ácido nítrico	None	None	None	กรดไนตริก	None	noun
of high value or worth	ثَمِين	precious	kallisarvoinen	πολύτιμος	berharga	大切な	寶貴 宝贵	a d j	cenny drogocenny drogi	precioso	драгоцен драг dragocen drag	None	None	มีค่า มีประโยชน์	None	adj
appealing to or arousing emotion	None	emotional	tunteisiin vetoava	None	emosional	None	None	a d j	None	emocional comovente	None	None	None	None	None	adj
easily affected by emotion	None	emotional	tunteellinen herkkätunteinen	None	emosional	None	None	a d j	None	emotivo impressionável	None	None	None	None	None	adj
a person or thing that takes the place of another; a substitute	None	replacement	sijainen korvike varaosa	αντικαταστάτης υποκατάστατο	pengganti	代替	None	n o u n	zastępca zamiennik	substituto	nadomjestak supstitut zamjena	None	sustituto reemplazo suplente	None	None	noun
something transposed from a thought to a document	None	documentation	kirjaaminen dokumentointi	None	dokumentasi	None	None	n o u n	None	None	None	None	None	None	None	noun
documents that explain the operation of a particular machine or software program	وَثَائِق	documentation	ohjekirja opas dokumentaatio	τεκμηρίωση	dokumentasi	文書 ドキュメンテーション	文檔 文档 文件	n o u n	dokumentacja	documentação	документација dokumentacija	None	documentación	เอกสารการใช้งาน	None	noun
one who publishes, especially books	دَار نَشْر نَاشِر	publisher	julkaisija kustantaja	εκδότης εκδότρια	penerbit	発行者	出版者 發行人 发行人 出版社	n o u n	wydawca wydawczyni wydawnictwo	editor editora editores	изда̀ва̄ч izdàvāč	založnik založnica založba	editorial	ผู้พิมพ์	None	noun
the condition of being sane	None	sanity	None	λογική	kewarasan	None	None	n o u n	poczytalność	sanidade	None	None	cordura	None	None	noun
number or expression written above the line in a fraction	بَسْط	numerator	osoittaja	αριθμητής	pembilang	None	分子	n o u n	licznik	numerador	бројник бројилац brojnik brojilac	števec	None	None	None	noun
careful	وَرِع حَذِر مُتَحَوِّط	cautious	varovainen	None	waspada	慎重な	謹慎 谨慎 慎重	a d j	ostrożny	cuidadoso cauteloso	о̏пре̄зан бу́дан па̀жљив ȍprēzan búdan pàžljiv	previden	cauto precavido	ระวัง รอบคอบ สุขุม ระมัดระวัง	None	adj
block used in blacksmithing	سَنْدان سِنْدَان	anvil	alasin	αμόνι	tulang landasan paron	金床	鐵砧 铁砧	n o u n	kowadło	bigorna	наковањ nakovanj	nakovalo	yunque bigornia	ทั่ง	None	noun
bone in inner ear	None	anvil	alasin alasinluu	αμόνι άκμονας	tulang landasan	None	砧骨	n o u n	kowadełko	bigorna	nakovanj	nakovalce	yunque	กระดูกทั่ง	None	noun
to search, hunt	None	track down	jäljittää	εντοπίζω	melacak	追い詰める ～を見つけ出す	找到 查獲 查获 追尋 追寻	v e r b	wytropić	rastrear localizar	None	None	None	None	None	verb
Pertaining to Malaysia	مَالَيْزِيّ	Malaysian	malesialainen	None	Malaysia	None	馬來西亞 马来西亚	a d j	malezyjski	malaio	None	None	malasio	None	None	adj
a native of Malaysia	مَالَيْزِيّ مَالَيْزِيَّة	Malaysian	malesialainen	None	orang Malaysia	マレーシア人	馬來西亞人 马来西亚人 馬來人 马来人	n o u n	Malezyjczyk Malezyjka	malaio	None	None	malasio	None	None	noun
arousing suspicion	مُريب مَشبوه	suspicious	epäilyttävä	ύποπτος	mencurigakan	怪しい 不審	可疑的	a d j	podejrzany	suspeito	None	None	sospechoso	None	None	adj
expressing suspicion	None	suspicious	epäilevä epäluuloinen	None	curiga	疑いの 怪しむよう	None	a d j	None	suspeitoso	None	None	sospechoso	None	None	adj
talk idly	None	chatter	jutella rupatella lörpötellä turista	None	mengoceh	None	唠叨	v e r b	bajczyć	papear bater papo	None	None	parlotear cotorrear	None	None	verb
crystalline dicarboxylic acid	None	adipic acid	adipiinihappo	None	asam adipat	None	None	n o u n	kwas adypinowy	ácido adípico	адипинска киселина adipinska kiselina	adipinska kislina	None	None	None	noun
expression of disagreement or disbelief	None	fuck off bugger off	ei vitussa ei hitossa eikä! ei kai?	άι γαμήσου	persetan	None	None	i n t j	pierdolisz nie pierdol	None	odjebi	None	None	None	None	intj
clear colourless organic acid, CH3COOH	None	acetic acid	etikkahappo	οξικό οξύ	asam cuka asam asetat	酢酸	乙酸 醋酸	n o u n	kwas octowy	ácido acético	None	None	None	None	None	noun
